"url","status","final_url","canonical","robots_meta","title","h1_count","h1","jsonld_blocks","fetch_state"
"https://buildwisemedia.com/","200","https://buildwisemedia.com/","https://buildwisemedia.com/","","Custom AI Solutions for Service Businesses | Buildwise Media","1","Digital employees for the work that eats your week.","1","FETCHED"
"https://buildwisemedia.com/about/","200","https://buildwisemedia.com/about/","https://buildwisemedia.com/about/","","About the AI Engineers — Buildwise Media","1","We are the case study. Because we're AI engineers.","1","FETCHED"
"https://buildwisemedia.com/audit/","200","https://buildwisemedia.com/audit/","https://buildwisemedia.com/audit/","","What Is a Revenue Leak Map? Contractor Guide — Buildwise Media","1","What Is a Revenue Leak Map — and What Does It Show Contractors?","1","FETCHED"
"https://buildwisemedia.com/connect/","200","https://buildwisemedia.com/connect/","https://buildwisemedia.com/connect/","noindex,nofollow","Connect with Robert — Buildwise Media","1","Good meeting you.","1","FETCHED"
"https://buildwisemedia.com/contact/","200","https://buildwisemedia.com/contact/","https://buildwisemedia.com/contact/","","Contact — Buildwise Media","1","Tell us where the work is stuck.","1","FETCHED"
"https://buildwisemedia.com/fortress/","200","https://buildwisemedia.com/fortress/","https://buildwisemedia.com/fortress/","","Own Your AI Fortress — Buildwise Media","1","Do not build a growing business inside a rented house.","1","FETCHED"
"https://buildwisemedia.com/go/digital-employees/","200","https://buildwisemedia.com/go/digital-employees/","https://buildwisemedia.com/go/digital-employees/","noindex,nofollow","Digital Employees for Service Businesses | Buildwise Media","1","Digital employees for a service business.","1","FETCHED"
"https://buildwisemedia.com/go/fortress/","200","https://buildwisemedia.com/go/fortress/","https://buildwisemedia.com/go/fortress/","noindex,nofollow","Own the Engine That Runs Your Growth | Buildwise Media","1","Stop building your business on rented land.","1","FETCHED"
"https://buildwisemedia.com/go/hvac-marketing/","200","https://buildwisemedia.com/go/hvac-marketing/","https://buildwisemedia.com/go/hvac-marketing/","","Custom AI System for HVAC Companies | Buildwise Media","1","Your HVAC company needs a custom AI system—not another agency.","1","FETCHED"
"https://buildwisemedia.com/go/receipts/","200","https://buildwisemedia.com/go/receipts/","https://buildwisemedia.com/go/receipts/","noindex,nofollow","We Run the Engine We Install | Buildwise Media","1","This site runs on the same kind of engine we install.","1","FETCHED"
"https://buildwisemedia.com/go/wave/","200","https://buildwisemedia.com/go/wave/","https://buildwisemedia.com/go/wave/","noindex,nofollow","The AI Wave Is Already Here | Buildwise Media","1","You have lived through this test before.","1","FETCHED"
"https://buildwisemedia.com/how-it-works/","200","https://buildwisemedia.com/how-it-works/","https://buildwisemedia.com/how-it-works/","","How the Weekly AI Build Works — Buildwise Media","1","One engine. Built every week. Problem by problem.","1","FETCHED"
"https://buildwisemedia.com/industries/","200","https://buildwisemedia.com/industries/","https://buildwisemedia.com/industries/","","Custom AI for Service Businesses — Buildwise Media","1","Custom AI for Service Businesses","1","FETCHED"
"https://buildwisemedia.com/industries/electrical/","200","https://buildwisemedia.com/industries/electrical/","https://buildwisemedia.com/industries/electrical/","","Custom AI for Electrical Companies — Buildwise Media","1","Custom AI, Built for Electrical Companies","1","FETCHED"
"https://buildwisemedia.com/industries/foundation/","200","https://buildwisemedia.com/industries/foundation/","https://buildwisemedia.com/industries/foundation/","","Custom AI for Foundation Repair &amp; Waterproofing Companies — Buildwise Media","1","Custom AI, Built for Foundation Repair & Waterproofing Companies","1","FETCHED"
"https://buildwisemedia.com/industries/garage-door/","200","https://buildwisemedia.com/industries/garage-door/","https://buildwisemedia.com/industries/garage-door/","","Custom AI for Garage Door Companies — Buildwise Media","1","Custom AI, Built for Garage Door Companies","1","FETCHED"
"https://buildwisemedia.com/industries/hvac/","200","https://buildwisemedia.com/industries/hvac/","https://buildwisemedia.com/industries/hvac/","","Custom AI for HVAC Companies — Buildwise Media","1","Custom AI, Built for HVAC Companies","1","FETCHED"
"https://buildwisemedia.com/industries/pest/","200","https://buildwisemedia.com/industries/pest/","https://buildwisemedia.com/industries/pest/","","Custom AI for Pest Control Companies — Buildwise Media","1","Custom AI, Built for Pest Control Companies","1","FETCHED"
"https://buildwisemedia.com/industries/plumbing/","200","https://buildwisemedia.com/industries/plumbing/","https://buildwisemedia.com/industries/plumbing/","","Custom AI for Plumbing Companies — Buildwise Media","1","Custom AI, Built for Plumbing Companies","1","FETCHED"
"https://buildwisemedia.com/industries/restoration/","200","https://buildwisemedia.com/industries/restoration/","https://buildwisemedia.com/industries/restoration/","","Custom AI for Restoration Companies — Buildwise Media","1","Custom AI, Built for Restoration Companies","1","FETCHED"
"https://buildwisemedia.com/industries/roofing/","200","https://buildwisemedia.com/industries/roofing/","https://buildwisemedia.com/industries/roofing/","","Custom AI for Roofing Companies — Buildwise Media","1","Custom AI, Built for Roofing Companies","1","FETCHED"
"https://buildwisemedia.com/legal/","200","https://buildwisemedia.com/legal/","https://buildwisemedia.com/legal/","","Service Terms — Buildwise Media","1","Service Terms","1","FETCHED"
"https://buildwisemedia.com/playbook/","200","https://buildwisemedia.com/playbook/","https://buildwisemedia.com/playbook/","","Playbook — Buildwise Media","1","The terms behind the system.","1","FETCHED"
